"ID","LAT","LON"
122,47.427,15.261
123,46.956,15.347
124,46.756,15.205
125,46.719,15.273
126,46.78,15.528
127,46.747,12.447
128,47.016,12.338
129,47.02,12.339
130,47.124,12.452
131,47.119,12.496
132,46.974,12.552
133,47.026,12.632
134,47.026,12.635
135,46.832,12.767
136,46.748,12.974
137,46.828,13.35
138,46.983,13.174
139,46.906,13.537
140,47.015,13.382
141,46.703,12.741
142,46.669,13
143,46.624,13.254
144,46.62,13.374
145,46.582,13.616
146,46.538,14.594
147,46.786,13.933
148,46.85,14.201
149,46.901,14.439
150,46.758,14.533
151,46.607,14.479
152,46.896,14.869
153,46.664,14.946
154,42.72,23.183
155,43.15,23.943
156,42.9,24.199
157,42.911,24.292
158,42.869,24.713
159,42.822,24.771
160,42.917,24.71
161,43.128,24.713
162,43.456,25.053
163,42.979,25.092
164,42.843,25.088
165,42.184,24.321
166,42.155,24.739
167,41.934,25.901
168,44.814,15.872
169,43.183,17.523
170,44.765,16.666
171,43.888,18.327
172,44.222,17.908
173,44.444,18.154
174,44.494,16.136
175,43.206,17.789
176,47.16,7.547
177,46.746,8.092
178,46.884,8.621
179,46.376,8.969
180,46.643,8.59
181,46.663,9.574
182,47.578,7.595
183,46.911,6.559
184,46.274,7.882
185,46.517,8.672
186,46.469,8.245
187,46.284,9.118
188,46.949,6.839
189,46.973,8.405
190,50.078,16.135
191,49.817,15.595
192,49.288,14.471
193,49.197,13.885
194,49.317,14.144
195,49.84,14.674
196,49.553,13.071
197,49.958,14.088
198,50.003,14.403
199,50.089,17.709
200,49.92,18.327
201,50.373,17.183
202,49.577,17.261
203,49.53,17.746
204,49.302,17.399
205,49.369,16.719
206,48.712,10.803
207,47.525,10.261
208,47.424,10.279
209,47.349,10.311
210,47.506,10.325
211,47.532,10.301
212,47.559,10.109
213,47.699,10.344
214,47.769,10.338
215,48.616,10.428
216,48.409,10.889
217,47.582,10.559
218,47.555,10.517
219,47.588,10.685
220,47.588,10.753
221,47.728,10.893
222,47.586,10.41
223,47.827,10.644
224,48.064,10.653
225,47.749,10.585
226,47.828,10.655
227,48.817,11.832
228,48.884,11.202
229,49.031,11.367
230,49.172,11.729
231,49.029,11.916
232,49.799,12.166
233,49.837,12.064
234,49.609,12.13
235,49.719,11.917
236,49.573,12.342
237,49.52,12.266
238,49.338,12.517
239,49.406,12.212
240,49.437,12.598
241,49.449,11.856
242,49.266,11.927
243,49.495,11.799
244,49.293,11.816
245,49.182,12.748
246,49.191,12.497
247,49.224,12.177
248,49.044,13.002
249,49.02,13.232
