Έτος,Δήμος,cleaned dimos,Org_ID,Περιφέρεια,Δασαρχείο,Κατάθεση αντιπυρκού σχεδίου στη ΓΓ. Πολ. Προστασίας,Χρηματοδότηηση ΥΠΕΣ,Συμπληρωματική χρηματοδότηση ΥΠΕΣ,#ανάθεση,#ανάληψη,#οριστικοποίηση,#έγκριση,Πρόταση χρηματοδότησης ΓΓ Πολ Προστασίας,Χρηματοδότηση ΕΣΠΑ,Χρηματοδότηση Αντώνης Τρίτσης,Άλλη πηγή χρηματοδότησης ονομαστικά,Δαπάνη για αντιπυρρική προστασία - Ισολογισμός,Αρ. Υπαλλήλων δήμου για πυροπροστασία,Αριθμός Πυρκαγιών,Καμμένες εκτάσεις,Τι ποσοστό του τακτικού προϋπολογισμού δίνεται σε πυροπροστασία
2022,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,ΑΛΜΥΡΟΥ,5007,ΜΑΓΝΗΣΙΑΣ,,,63000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,ΑΛΟΝΝΗΣΟΥ,5007,ΜΑΓΝΗΣΙΑΣ,,,27500,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΜΑΡΙΟΥ,ΑΜΑΡΙΟΥ,5010,ΡΕΘΥΜΝΟΥ,,,31000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,12,ΑΤΤΙΚΗΣ,,,18000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΜΟΡΓΟΥ,ΑΜΟΡΓΟΥ,,ΚΥΚΛΑΔΩΝ,,,15000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,#N/A,ΘΕΣΣΑΛΟΝΙΚΗΣ,,,18000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΜΥΝΤΑΙΟΥ,ΑΜΥΝΤΑΙΟΥ,5005,ΦΛΩΡΙΝΑΣ,,,45000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,#N/A,ΦΘΙΩΤΙΔΑΣ,,,66000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΜΦΙΛΟΧΙΑΣ,ΑΜΦΙΛΟΧΙΑΣ,12,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,,,61000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,ΑΜΦΙΠΟΛΗΣ,5009,ΣΕΡΡΩΝ,,,23700,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,100054492,ΛΑΚΩΝΙΑΣ,,,63800,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΝΑΦΗΣ,ΑΝΑΦΗΣ,,ΚΥΚΛΑΔΩΝ,,,6600,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΝΔΡΑΒΙΔΑΣ-ΚΥΛΛΗΝΗΣ,ΑΝΔΡΑΒΙΔΑΣ-ΚΥΛΛΗΝΗΣ,#N/A,ΗΛΕΙΑΣ,,,90600,50000,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΝΔΡΙΤΣΑΙΝΑΣ-ΚΡΕΣΤΕΝΩΝ,ΑΝΔΡΙΤΣΑΙΝΑΣ-ΚΡΕΣΤΕΝΩΝ,#N/A,ΗΛΕΙΑΣ,,,77900,120000,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΝΔΡΟΥ,ΑΝΔΡΟΥ,5011,ΚΥΚΛΑΔΩΝ,,,50600,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΝΤΙΠΑΡΟΥ,ΑΝΤΙΠΑΡΟΥ,5011,ΚΥΚΛΑΔΩΝ,,,6900,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΠΟΚΟΡΩΝΟΥ,ΑΠΟΚΟΡΩΝΟΥ,12,ΧΑΝΙΩΝ,,,75500,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,ΑΡΓΙΘΕΑΣ,5007,ΚΑΡΔΙΤΣΑΣ,,,25600,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ,ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ,#N/A,ΑΡΓΟΛΙΔΑΣ,,,145000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,ΑΡΙΣΤΟΤΕΛΗ,5009,ΧΑΛΚΙΔΙΚΗΣ,,,84000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ,5001,ΡΟΔΟΠΗΣ,,,50000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
