Please read Terms and Conditions of Access and Use of EDO data at https://edo.jrc.ec.europa.eu/edov2/php/index.php?id=1044
"cell_id","latitude","longitude","cdi"
21132854,36.9792,22.5625,2
21132855,36.9792,22.6042,2
21132856,36.9792,22.6458,2
21132857,36.9792,22.6875,2
21132858,36.9792,22.7292,2
21132868,37.0208,22.1458,2
21132869,37.0208,22.1875,5
21132870,37.0208,22.2292,5
21132871,37.0208,22.2708,5
21132872,37.0208,22.3125,5
21132873,37.0208,22.3542,5
21132874,37.0208,22.3958,5
21132875,37.0208,22.4375,5
21132876,37.0208,22.4792,2
21132889,37.0625,22.0208,2
21132890,37.0625,22.0625,2
21132891,37.0625,22.1042,2
21132892,37.0625,22.1458,2
21132893,37.0625,22.1875,5
21132894,37.0625,22.2292,5
21132895,37.0625,22.2708,5
21132896,37.0625,22.3125,5
21132897,37.0625,22.3542,5
21132898,37.0625,22.3958,2
21132899,37.0625,22.4375,2
21132900,37.0625,22.4792,2
21132913,37.1042,22.0208,2
21132914,37.1042,22.0625,2
21132915,37.1042,22.1042,2
21132916,37.1042,22.1458,2
21132917,37.1042,22.1875,2
21132918,37.1042,22.2292,2
21132919,37.1042,22.2708,5
21132920,37.1042,22.3125,5
21132921,37.1042,22.3542,2
21132922,37.1042,22.3958,2
21132923,37.1042,22.4375,2
21132924,37.1042,22.4792,2
21132937,37.1458,22.0208,2
21132938,37.1458,22.0625,2
21132939,37.1458,22.1042,2
21132940,37.1458,22.1458,2
21132941,37.1458,22.1875,2
21132942,37.1458,22.2292,2
21132943,37.1458,22.2708,5
21132944,37.1458,22.3125,5
21132945,37.1458,22.3542,2
21132946,37.1458,22.3958,2
21132947,37.1458,22.4375,2
21132948,37.1458,22.4792,2
21132961,37.1875,22.0208,2
21132962,37.1875,22.0625,5
21132963,37.1875,22.1042,5
21132964,37.1875,22.1458,2
21132965,37.1875,22.1875,2
21132966,37.1875,22.2292,2
21132967,37.1875,22.2708,2
21132968,37.1875,22.3125,2
21132969,37.1875,22.3542,2
21132970,37.1875,22.3958,2
21132971,37.1875,22.4375,2
21132972,37.1875,22.4792,2
21132985,37.2292,22.0208,2
21132986,37.2292,22.0625,5
21132987,37.2292,22.1042,5
21132988,37.2292,22.1458,2
21132989,37.2292,22.1875,2
21132990,37.2292,22.2292,2
21132991,37.2292,22.2708,2
21132992,37.2292,22.3125,2
21132993,37.2292,22.3542,2
21132994,37.2292,22.3958,2
21132995,37.2292,22.4375,2
21132996,37.2292,22.4792,2
21133009,37.2708,22.0208,2
21133010,37.2708,22.0625,5
21133011,37.2708,22.1042,2
21133012,37.2708,22.1458,2
21133013,37.2708,22.1875,2
21133014,37.2708,22.2292,2
21133015,37.2708,22.2708,2
21133016,37.2708,22.3125,2
21133017,37.2708,22.3542,2
21133018,37.2708,22.3958,2
21133019,37.2708,22.4375,5
21133020,37.2708,22.4792,5
21133033,37.3125,22.0208,2
21133034,37.3125,22.0625,2
21133035,37.3125,22.1042,2
21133036,37.3125,22.1458,2
21133037,37.3125,22.1875,2
21133038,37.3125,22.2292,2
21133039,37.3125,22.2708,2
21133040,37.3125,22.3125,2
21133041,37.3125,22.3542,2
21133042,37.3125,22.3958,5
21133043,37.3125,22.4375,5
21133044,37.3125,22.4792,5
21133057,37.3542,22.0208,2
21133058,37.3542,22.0625,2
21133059,37.3542,22.1042,2
21133060,37.3542,22.1458,2
21133061,37.3542,22.1875,2
21133062,37.3542,22.2292,2
21133063,37.3542,22.2708,2
21133064,37.3542,22.3125,5
21133065,37.3542,22.3542,5
21133066,37.3542,22.3958,5
21133067,37.3542,22.4375,5
21133068,37.3542,22.4792,5
21133081,37.3958,22.0208,2
21133082,37.3958,22.0625,2
21133083,37.3958,22.1042,2
21133084,37.3958,22.1458,2
21133085,37.3958,22.1875,5
21133086,37.3958,22.2292,5
21133087,37.3958,22.2708,5
21133088,37.3958,22.3125,5
21133089,37.3958,22.3542,5
21133090,37.3958,22.3958,5
21133091,37.3958,22.4375,5
21133092,37.3958,22.4792,5
21133105,37.4375,22.0208,5
21133106,37.4375,22.0625,5
21133107,37.4375,22.1042,2
21133108,37.4375,22.1458,2
21133109,37.4375,22.1875,5
21133110,37.4375,22.2292,5
21133111,37.4375,22.2708,5
21133112,37.4375,22.3125,5
21133113,37.4375,22.3542,2
21133114,37.4375,22.3958,2
21133115,37.4375,22.4375,2
21133116,37.4375,22.4792,2
21133129,37.4792,22.0208,5
21133130,37.4792,22.0625,5
21133131,37.4792,22.1042,2
21133132,37.4792,22.1458,2
21133133,37.4792,22.1875,2
21133134,37.4792,22.2292,5
21133135,37.4792,22.2708,5
21133136,37.4792,22.3125,5
21133137,37.4792,22.3542,5
21133138,37.4792,22.3958,2
21133139,37.4792,22.4375,5
21133140,37.4792,22.4792,5
21133153,37.5208,22.0208,2
21133154,37.5208,22.0625,2
21133155,37.5208,22.1042,2
21133156,37.5208,22.1458,2
21133157,37.5208,22.1875,2
21133158,37.5208,22.2292,5
21133177,37.5625,22.0208,5
21133178,37.5625,22.0625,2
21133179,37.5625,22.1042,2
21133180,37.5625,22.1458,2
21133181,37.5625,22.1875,2
21133182,37.5625,22.2292,2
21133201,37.6042,22.0208,5
21133202,37.6042,22.0625,5
21133203,37.6042,22.1042,2
21133204,37.6042,22.1458,2
21133205,37.6042,22.1875,2
21133206,37.6042,22.2292,2
21133225,37.6458,22.0208,5
21133226,37.6458,22.0625,5
21133227,37.6458,22.1042,2
21133228,37.6458,22.1458,2
21133229,37.6458,22.1875,2
21133230,37.6458,22.2292,2
21133249,37.6875,22.0208,5
21133250,37.6875,22.0625,5
21133251,37.6875,22.1042,5
21133252,37.6875,22.1458,2
21133253,37.6875,22.1875,2
21133254,37.6875,22.2292,2
21133273,37.7292,22.0208,5
21133274,37.7292,22.0625,5
21133275,37.7292,22.1042,5
21133276,37.7292,22.1458,5
21133277,37.7292,22.1875,2
21133278,37.7292,22.2292,2
21343687,41.0208,24.2708,2
21343688,41.0208,24.3125,2
21343689,41.0208,24.3542,2
21343690,41.0208,24.3958,2
21343691,41.0208,24.4375,2
21343692,41.0208,24.4792,2
21343693,41.0208,24.5208,2
21343694,41.0208,24.5625,2
21343695,41.0208,24.6042,2
21343696,41.0208,24.6458,2
21343697,41.0208,24.6875,2
21343698,41.0208,24.7292,2
21343699,41.0208,24.7708,2
21343700,41.0208,24.8125,2
21343701,41.0208,24.8542,2
21343702,41.0208,24.8958,2
21343703,41.0208,24.9375,2
21343704,41.0208,24.9792,2
21343711,41.0625,24.2708,2
21343712,41.0625,24.3125,2
21343713,41.0625,24.3542,2
21343714,41.0625,24.3958,2
21343715,41.0625,24.4375,2
21343716,41.0625,24.4792,2
21343717,41.0625,24.5208,2
21343718,41.0625,24.5625,2
21343719,41.0625,24.6042,2
21343720,41.0625,24.6458,2
21343721,41.0625,24.6875,2
21343722,41.0625,24.7292,2
21343723,41.0625,24.7708,2
21343724,41.0625,24.8125,2
21343725,41.0625,24.8542,2
21343726,41.0625,24.8958,2
21343727,41.0625,24.9375,2
21343728,41.0625,24.9792,2
21343735,41.1042,24.2708,2
21343736,41.1042,24.3125,2
21343737,41.1042,24.3542,2
21343738,41.1042,24.3958,2
21343739,41.1042,24.4375,2
21343740,41.1042,24.4792,2
21343741,41.1042,24.5208,2
21343742,41.1042,24.5625,2
21343743,41.1042,24.6042,2
21343744,41.1042,24.6458,2
21343745,41.1042,24.6875,2
21343746,41.1042,24.7292,2
21343747,41.1042,24.7708,2
21343748,41.1042,24.8125,2
21343749,41.1042,24.8542,2
21343750,41.1042,24.8958,2
21343751,41.1042,24.9375,2
21343752,41.1042,24.9792,2
21343759,41.1458,24.2708,2
21343760,41.1458,24.3125,2
21343761,41.1458,24.3542,2
21343762,41.1458,24.3958,2
21343763,41.1458,24.4375,2
21343764,41.1458,24.4792,2
21343765,41.1458,24.5208,2
21343766,41.1458,24.5625,2
21343767,41.1458,24.6042,2
21343768,41.1458,24.6458,2
21343769,41.1458,24.6875,2
21343770,41.1458,24.7292,2
21343771,41.1458,24.7708,2
21343772,41.1458,24.8125,2
21343773,41.1458,24.8542,2
21343774,41.1458,24.8958,2
21343775,41.1458,24.9375,2
21343776,41.1458,24.9792,2
21343783,41.1875,24.2708,2
21343784,41.1875,24.3125,2
21343785,41.1875,24.3542,2
21343786,41.1875,24.3958,2
21343787,41.1875,24.4375,2
21343788,41.1875,24.4792,2
21343789,41.1875,24.5208,2
21343790,41.1875,24.5625,2
21343791,41.1875,24.6042,2
21343792,41.1875,24.6458,2
21343793,41.1875,24.6875,2
21343794,41.1875,24.7292,2
21343795,41.1875,24.7708,2
21343796,41.1875,24.8125,2
21343797,41.1875,24.8542,2
21343798,41.1875,24.8958,2
21343799,41.1875,24.9375,2
21343800,41.1875,24.9792,2
21343807,41.2292,24.2708,2
21343808,41.2292,24.3125,2
21343809,41.2292,24.3542,2
21343810,41.2292,24.3958,2
21343811,41.2292,24.4375,2
21343812,41.2292,24.4792,2
21343813,41.2292,24.5208,2
21343814,41.2292,24.5625,2
21343815,41.2292,24.6042,2
21343816,41.2292,24.6458,2
21343817,41.2292,24.6875,2
21343818,41.2292,24.7292,2
21343819,41.2292,24.7708,2
21343820,41.2292,24.8125,2
21343821,41.2292,24.8542,2
21343822,41.2292,24.8958,2
21343823,41.2292,24.9375,2
21343824,41.2292,24.9792,2
21343825,41.2708,24.0208,2
21343826,41.2708,24.0625,2
21343827,41.2708,24.1042,2
21343828,41.2708,24.1458,2
21343829,41.2708,24.1875,2
21343830,41.2708,24.2292,2
21343831,41.2708,24.2708,2
21343832,41.2708,24.3125,2
21343833,41.2708,24.3542,2
21343834,41.2708,24.3958,2
21343835,41.2708,24.4375,2
21343836,41.2708,24.4792,2
21343837,41.2708,24.5208,2
21343838,41.2708,24.5625,2
21343839,41.2708,24.6042,2
21343840,41.2708,24.6458,2
21343841,41.2708,24.6875,2
21343842,41.2708,24.7292,2
21343849,41.3125,24.0208,2
21343850,41.3125,24.0625,2
21343851,41.3125,24.1042,2
21343852,41.3125,24.1458,2
21343853,41.3125,24.1875,2
21343854,41.3125,24.2292,2
21343855,41.3125,24.2708,2
21343856,41.3125,24.3125,2
21343857,41.3125,24.3542,2
21343858,41.3125,24.3958,2
21343859,41.3125,24.4375,2
21343860,41.3125,24.4792,2
21343861,41.3125,24.5208,2
21343862,41.3125,24.5625,2
21343863,41.3125,24.6042,2
21343864,41.3125,24.6458,2
21343865,41.3125,24.6875,2
21343866,41.3125,24.7292,2
21343873,41.3542,24.0208,2
21343874,41.3542,24.0625,2
21343875,41.3542,24.1042,2
21343876,41.3542,24.1458,2
21343877,41.3542,24.1875,2
21343878,41.3542,24.2292,2
21343879,41.3542,24.2708,2
21343880,41.3542,24.3125,2
21343881,41.3542,24.3542,2
21343882,41.3542,24.3958,2
21343883,41.3542,24.4375,2
21343884,41.3542,24.4792,2
21343885,41.3542,24.5208,2
21343886,41.3542,24.5625,2
21343887,41.3542,24.6042,2
21343888,41.3542,24.6458,2
21343889,41.3542,24.6875,2
